title,company,location,link
"2020년 11월 전지사업본부 경력사원 (R&D, R&D Staff, 사업개발 등)",LG화학,대전 유성구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=3ea6ea076c87f16e
Native Korean Speaking Software QA Test Engineer,TikTok,서울 여의도역,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=b658bf0e47e92299
2020년 하반기 한국통계정보원 SW 분야(신입),재단법인 한국통계정보원,대전 서구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=a0ae1dfb3d1d5dba
데이터마케팅 경력직,LG전자,서울특별시,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=eb822ed49f0aba2b
[개발]CI/CD 엔지니어(정규직),위메프,대한민국,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=3d0cc83899a9b37f
2020년 하반기 한국통계정보원 통계 분야(경력),재단법인 한국통계정보원,대전 서구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=966cafe479e400bd
(주)아이옵스 소프트웨어 개발자 경력직,아이옵스,대전 유성구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=79f503b7b51d65cb
[개발]E-Commerce 데이터 엔지니어/NLP개발자(정규직),위메프,대한민국,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=ab8b221932fe27ef
KAIST 문화기술연구소 [시간제위촉연구원] 모집 공고,카이스트,대전 유성구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=e60392e6df2ed523
빅데이터 분석 인력,인사이트마이닝,대전 유성구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=e4c2a87743d4c8bc
[데이터사이언스팀]데이터 분석가/사이언티스트(신입/인턴 가능),쏘카,대한민국,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=be5650c60935269c
"Java, Python 백엔드 개발자 경력 정규직",아이넷테크,대전 유성구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=e0921be1bc6e2ffd
프랭클린템플턴투신운용 Junior Trader (Quant base 필수),프랭클린템플턴투신,대한민국,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=4adac8923476d038
[EY한영] 금융감사본부 Data Analytics 전문 경력직 모집,Ernst & Young,대한민국,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=a259874867f98a64
"MVP 개발 엔지니어(서버, 웹프론트) (정규직, 계약직, 프리랜서)",더테스터,대전 중구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=1748baa27965fdbf
AI/빅데이터 (리더급) 국내 대기업 new,국내 대기업,경기도,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=50bdcec0bd5965c1
Data Scientist,"Koniag, Inc.",대한민국,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=193bfe67eed05c31
"[청년 디지털 일자리] 어플리케이션, 소프트웨어 개발, 인공지능(AI), 빅데이터 분석 등",에이치엠,대구 동구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=d9989fc00f524cda
"데이터 분석 및 컨설팅 분야 (Python, SAS, 빅데이터) 경력직",한국정보기술단,과천 과천시,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=89e690f22378dc43
글로벌 소셜카지노 부문 사업PM,네오위즈,대한민국,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=57140679f30ac86c
